customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_bucket,services_count,monthly_to_total_ratio,internet_no_techsupport,CLV,CLV_quartile,Churn_encoded
0727-IWKVK,1,0,1,0,9,1,0,1,0,2,2,0,0,0,0,1,2,79.9,741.7,Yes,3,3,0.10772549548334906,1,1917.6000000000001,Medium,1
4010-YLMVT,0,0,0,0,56,1,2,1,2,2,0,0,2,2,0,1,1,106.6,5893.95,No,2,5,0.018086342775218655,1,5969.599999999999,Premium,0
7094-MSZAO,1,0,1,1,10,1,0,2,1,1,1,1,1,1,0,1,1,20.05,218.5,No,3,1,0.09176201372997712,0,481.20000000000005,Low,0
9174-IHETN,0,0,0,1,50,1,0,1,0,0,0,0,0,0,2,0,1,70.35,3533.6,No,2,1,0.019908874801901743,1,3517.4999999999995,High,0
8429-XIBUM,1,0,0,0,22,1,2,1,2,0,0,0,2,2,0,1,0,101.35,2317.1,Yes,1,4,0.04374001985240171,1,2432.3999999999996,High,1
0196-JTUQI,0,0,0,0,9,1,2,1,0,0,0,0,0,0,0,1,1,75.2,633.85,No,3,1,0.11864005679577187,1,1804.8000000000002,Medium,0
1785-BPHTP,1,0,1,1,28,1,0,1,0,0,2,0,2,0,0,0,2,85.45,2289.9,No,2,3,0.0373160400017468,1,2392.6,High,0
7665-VIGUD,1,0,0,0,10,1,0,2,1,1,1,1,1,1,1,0,3,20.35,176.3,No,3,1,0.11542824730572887,0,488.40000000000003,Low,0
1086-LXKFY,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,69.1,69.1,Yes,0,1,1.0,1,1658.3999999999999,Medium,1
0556-FJEGU,1,0,0,0,58,1,0,0,0,2,2,2,2,0,2,0,0,70.1,4048.95,No,2,5,0.01731313056471431,0,4065.7999999999997,Premium,0
6341-AEVKX,0,0,1,0,62,1,0,1,2,0,2,2,2,2,1,1,2,104.3,6613.65,No,2,6,0.01577041421907721,0,6466.599999999999,Premium,0
8414-MYSHR,1,1,0,0,5,1,0,1,0,0,0,0,2,2,0,1,2,91.4,449.75,Yes,0,3,0.20322401334074486,1,2193.6000000000004,High,1
0236-HFWSV,1,0,0,0,15,1,2,1,0,0,0,0,2,2,0,1,2,93.35,1444.65,Yes,1,3,0.06461772747724362,1,2240.3999999999996,High,1
2091-GPPIQ,0,0,1,1,72,1,2,0,0,2,0,2,2,2,2,1,2,78.95,5730.15,No,2,5,0.013777998830746142,0,5684.400000000001,Premium,0
7636-OWBPG,1,1,0,0,12,0,1,0,0,2,0,0,0,0,0,1,1,29.35,381.2,No,1,1,0.07699370409233998,1,704.4000000000001,Low,0
5832-XKAES,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,1,69.8,134.7,Yes,0,1,0.51818856718634,1,1675.1999999999998,Medium,1
5729-KLZAR,0,0,1,1,4,1,0,1,0,0,0,0,0,2,0,0,2,80.85,302.75,Yes,0,2,0.26705202312138726,1,1940.3999999999999,Medium,1
2642-MAWLJ,0,0,1,1,36,1,0,2,1,1,1,1,1,1,2,0,0,20.25,717.95,No,2,1,0.028205306776237896,0,729.0,Low,0
6614-YWYSC,1,1,1,0,61,1,2,2,1,1,1,1,1,1,2,0,0,25.0,1501.75,No,2,1,0.0166472448809722,0,1525.0,Medium,0
2359-KMGLI,1,0,0,0,24,1,2,1,0,2,0,0,0,0,0,1,2,80.25,1861.5,Yes,2,2,0.04311039484286865,1,1926.0,Medium,1
1073-XXCZD,1,0,1,0,55,1,2,2,1,1,1,1,1,1,2,0,0,25.7,1443.65,No,2,1,0.017802098846673362,0,1413.5,Medium,0
8107-RZLNV,1,0,1,0,72,1,2,1,0,2,2,0,2,2,2,1,0,106.3,7565.35,No,2,5,0.014050903130720983,1,7653.599999999999,Premium,0
9822-OAOVB,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,2,55.45,55.45,No,0,2,1.0,1,1330.8000000000002,Medium,0
4094-NSEDU,0,1,0,0,21,1,2,1,0,0,0,0,2,2,0,1,2,94.25,1973.75,Yes,1,3,0.04775174160861305,1,2262.0,High,1
5955-ERIHD,1,0,1,0,18,1,2,1,0,0,0,0,2,2,0,1,2,94.7,1687.95,Yes,1,3,0.05610355756983323,1,2272.8,High,1
7605-SNLQG,0,0,1,0,45,1,0,0,0,0,2,0,0,0,0,1,1,50.25,2221.55,No,2,2,0.022619342351061195,1,2261.25,High,0
4334-HOWRP,1,1,1,0,72,0,1,0,2,2,2,2,2,2,2,1,1,64.95,4546.0,No,2,6,0.014287285525736913,0,4676.400000000001,Premium,0
4452-QIIEB,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,3,43.9,278.4,No,3,1,0.15768678160919541,1,1053.6,Low,0
5204-QZXPU,1,0,0,0,19,0,1,0,0,0,2,0,2,0,0,1,2,39.65,733.35,Yes,1,2,0.05406695302379491,1,951.5999999999999,Low,1
1015-JPFYW,1,0,0,1,7,1,0,2,1,1,1,1,1,1,1,0,3,19.45,136.75,No,3,1,0.14223034734917733,0,466.79999999999995,Low,0
2123-VSCOT,0,0,1,1,59,1,2,0,0,0,2,2,2,0,2,1,0,72.1,4194.85,No,2,4,0.017187742112352047,0,4253.9,Premium,0
8292-FRFZQ,0,0,0,0,39,0,1,0,2,2,0,2,0,0,1,0,0,41.15,1700.9,No,2,3,0.024193074254806275,0,1604.85,Medium,0
9833-TGFHX,1,0,1,1,42,1,2,1,2,0,0,0,2,2,1,0,2,97.1,4016.75,No,2,4,0.024173772328374928,1,4078.2,Premium,0
5543-QDCRY,1,0,0,0,4,1,0,0,0,0,0,0,2,0,0,1,2,56.4,234.85,No,0,2,0.2401532893336172,1,1353.6,Medium,0
7326-RIGQZ,1,0,1,1,6,1,0,1,0,0,0,0,0,0,0,1,2,69.8,377.85,No,3,1,0.18472938996956462,1,1675.1999999999998,Medium,0
3498-LZGQZ,1,0,1,1,63,1,0,2,1,1,1,1,1,1,2,1,3,19.15,1177.05,No,2,1,0.016269487277515822,0,1206.4499999999998,Medium,0
4510-PYUSH,0,1,0,0,38,1,0,0,2,2,0,0,0,0,0,1,1,57.15,2250.65,Yes,2,3,0.02539266434141248,1,2171.7,High,1
7459-IMVYU,1,0,0,0,38,1,2,0,2,2,2,2,0,0,0,0,2,69.95,2657.55,No,2,5,0.02632123572463359,0,2658.1,High,0
6522-YRBXD,1,1,1,0,35,1,2,1,2,2,0,0,0,2,0,1,2,94.55,3365.4,No,2,4,0.02809472870981161,1,3309.25,High,0
6265-FRMTQ,1,0,0,0,31,1,0,2,1,1,1,1,1,1,2,0,0,20.4,609.1,No,2,1,0.033492037432277126,0,632.4,Low,0
4581-SSPWD,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,1,2,75.8,246.3,Yes,0,1,0.30775477060495326,1,1819.1999999999998,Medium,1
6917-IAYHD,1,0,0,1,1,0,1,0,0,2,0,2,0,0,0,0,3,33.6,33.6,No,0,2,1.0,0,806.4000000000001,Low,0
6341-JVQGF,0,0,1,1,31,1,0,0,2,0,2,2,2,2,1,1,3,81.15,2545.75,No,2,6,0.03187665717372091,0,2515.65,High,0
9507-HSMMZ,1,0,0,0,54,1,0,2,1,1,1,1,1,1,2,0,3,20.0,1149.65,No,2,1,0.01739659896490236,0,1080.0,Low,0
2842-JTCCU,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,46.05,80.35,Yes,0,1,0.5731176104542626,1,1105.1999999999998,Low,1
8295-FHIVV,1,0,0,0,7,1,0,2,1,1,1,1,1,1,0,1,3,19.4,168.65,No,3,1,0.11503112955825673,0,465.59999999999997,Low,0
1374-DMZUI,0,1,0,0,4,1,2,1,0,0,0,0,2,2,0,1,2,94.3,424.45,Yes,0,3,0.22216986688655907,1,2263.2,High,1
4012-ZTHBR,0,0,1,1,21,1,0,0,0,0,0,0,0,0,0,1,2,44.95,926.25,No,1,1,0.04852901484480432,1,1078.8000000000002,Low,0
6199-IWKGC,0,1,1,0,46,1,2,1,0,0,0,2,2,2,1,0,2,100.25,4753.85,No,2,4,0.02108817064063864,0,4611.5,Premium,0
4023-RTIQM,0,1,1,0,31,0,1,0,2,2,2,0,0,2,1,1,1,50.4,1580.1,No,2,4,0.03189671539775964,1,1562.3999999999999,Medium,0
8406-LNMHF,1,1,1,0,59,1,0,1,2,2,2,0,0,0,1,1,1,82.95,4903.15,No,2,4,0.016917695767006927,1,4894.05,Premium,0
2680-XKKNJ,0,0,0,0,8,1,0,0,2,2,0,2,0,0,1,0,0,58.2,469.25,No,3,4,0.12402770378263187,0,1396.8000000000002,Medium,0
0454-OKRCT,1,0,0,0,33,1,0,1,0,2,0,2,0,0,2,0,0,80.6,2651.1,No,2,3,0.030402474444570178,0,2659.7999999999997,High,0
9052-VKDUW,0,1,1,0,65,1,2,1,2,2,2,0,2,2,0,1,1,109.4,7227.45,No,2,6,0.015136735639817642,1,7111.0,Premium,0
4487-ZYJZK,0,0,1,1,38,1,0,2,1,1,1,1,1,1,1,0,1,19.6,763.1,No,2,1,0.02568470711571223,0,744.8000000000001,Low,0
9972-EWRJS,0,0,1,1,67,1,0,2,1,1,1,1,1,1,2,1,0,19.25,1372.9,No,2,1,0.01402141452400029,0,1289.75,Medium,0
4116-TZAQJ,0,0,0,0,9,1,0,1,2,0,0,0,0,0,0,1,1,74.25,639.65,Yes,3,2,0.11607910576096303,1,1782.0,Medium,1
1950-KSVVJ,0,0,1,0,45,1,2,1,2,2,2,2,2,2,1,0,3,113.3,5032.25,No,2,7,0.02251477967112127,0,5098.5,Premium,0
8874-EJNSR,1,0,1,1,39,1,2,2,1,1,1,1,1,1,2,0,3,25.2,987.95,No,2,1,0.025507363732982437,0,982.8,Low,0
7989-AWGEH,1,0,1,1,49,0,1,0,2,0,0,0,0,2,0,1,2,39.2,1838.15,No,2,2,0.021325789516633574,1,1920.8000000000002,Medium,0
3696-XRIEN,0,0,0,0,50,1,2,0,2,0,2,2,2,2,1,1,1,82.5,4179.1,No,2,6,0.019741092579742048,0,4125.0,Premium,0
3413-DHLPB,1,0,1,1,60,1,2,1,0,2,0,2,2,2,0,1,0,103.75,5969.95,No,2,5,0.017378705014279853,0,6225.0,Premium,0
0786-VSSUD,1,1,0,0,16,0,1,0,0,2,0,0,2,0,0,1,3,39.0,679.85,Yes,1,2,0.05736559535191586,1,936.0,Low,1
9938-EKRGF,0,0,0,0,15,1,0,0,2,2,2,2,2,2,0,0,3,84.45,1287.85,No,1,7,0.065574406957332,0,2026.8000000000002,High,0
1468-DEFNC,1,1,1,1,64,1,2,2,1,1,1,1,1,1,2,1,0,24.4,1548.65,No,2,1,0.015755658153875956,0,1561.6,Medium,0
5546-QUERU,1,0,0,0,13,1,0,2,1,1,1,1,1,1,1,1,3,19.95,257.0,No,1,1,0.07762645914396887,0,478.79999999999995,Low,0
4189-NAKJS,1,0,0,0,26,1,2,0,0,0,0,0,0,0,1,1,1,51.55,1295.4,No,2,1,0.039794658020688586,1,1340.3,Medium,0
5242-UOWHD,1,0,1,1,45,1,0,2,1,1,1,1,1,1,2,0,3,20.35,929.2,No,2,1,0.02190055962117951,0,915.7500000000001,Low,0
0030-FNXPP,0,0,0,0,3,1,0,2,1,1,1,1,1,1,0,0,3,19.85,57.2,No,0,1,0.34702797202797203,0,476.40000000000003,Low,0
4598-ZADCK,0,0,0,0,53,0,1,0,2,2,2,2,2,0,1,1,2,53.6,2879.2,No,2,5,0.018616282300639067,0,2840.8,High,0
9624-EGDEQ,0,0,0,0,37,1,0,2,1,1,1,1,1,1,2,0,3,19.8,813.3,No,2,1,0.024345260051641462,0,732.6,Low,0
3244-CQPHU,0,1,0,0,72,1,2,1,2,2,0,2,2,2,2,1,0,110.1,7746.7,No,2,6,0.014212503388539636,0,7927.2,Premium,0
2931-XIQBR,0,0,1,1,50,1,0,1,0,0,2,2,2,2,1,0,3,103.05,5153.5,No,2,5,0.019996119142330456,0,5152.5,Premium,0
6326-MTTXK,1,0,0,0,8,1,2,1,0,2,0,0,2,2,0,0,2,100.85,819.55,Yes,3,4,0.12305533524495149,1,2420.3999999999996,High,1
0623-GDISB,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,48.45,48.45,No,0,2,1.0,1,1162.8000000000002,Low,0
1568-LJSZU,1,0,1,1,68,1,2,0,2,2,2,2,2,2,2,1,1,92.2,6392.85,No,2,7,0.014422362483086574,0,6269.6,Premium,0
8436-BJUMM,1,0,1,1,26,1,2,1,0,0,0,0,2,0,0,1,2,83.75,2070.6,Yes,2,2,0.04044721336810587,1,2177.5,High,1
5110-CHOPY,0,0,0,0,60,0,1,0,2,0,2,0,2,2,2,0,2,53.6,3237.05,No,2,4,0.01655828609381999,1,3216.0,High,0
4750-UKWJK,0,1,1,0,37,1,0,2,1,1,1,1,1,1,1,0,3,19.6,727.8,No,2,1,0.02693047540533114,0,725.2,Low,0
1219-NNDDO,0,0,0,0,9,1,2,1,0,0,0,0,0,0,0,1,2,76.85,663.55,No,3,1,0.11581644186572225,1,1844.3999999999999,Medium,0
7459-RRWQZ,0,0,0,0,15,1,2,0,2,0,0,0,0,2,0,1,0,64.65,994.55,Yes,1,3,0.06500427328942739,1,1551.6000000000001,Medium,1
7801-KICAO,0,0,0,0,18,1,2,1,0,0,0,0,0,0,0,1,2,74.15,1345.75,No,1,1,0.05509938695894483,1,1779.6000000000001,Medium,0
3389-KTRXV,0,0,1,1,23,1,2,2,1,1,1,1,1,1,2,0,3,23.85,625.65,No,1,1,0.03812035483097579,0,572.4000000000001,Low,0
0362-RAOQO,0,0,0,0,40,1,0,2,1,1,1,1,1,1,2,0,1,19.65,830.25,No,2,1,0.023667570009033422,0,786.0,Low,0
1163-ONYEY,1,0,1,1,41,1,2,0,2,2,2,0,2,0,0,1,1,74.55,3023.55,No,2,5,0.024656446891898595,1,3056.5499999999997,High,0
5968-XQIVE,1,0,1,1,72,1,2,1,0,2,0,0,2,0,1,1,2,89.7,6588.95,No,2,3,0.013613701727892913,1,6458.400000000001,Premium,0
8752-GHJFU,1,1,1,0,71,1,2,1,2,2,2,2,0,0,1,1,2,92.0,6585.2,No,2,5,0.013970722225596793,0,6532.0,Premium,0
8819-WFGGJ,1,0,1,0,68,0,1,0,2,0,2,0,2,2,2,1,0,54.1,3794.5,No,2,4,0.014257477928580842,1,3678.8,High,0
7926-IJOOU,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,1,19.3,19.3,No,0,1,1.0,0,463.20000000000005,Low,0
9189-JWSHV,0,1,1,0,24,1,2,1,0,0,0,0,2,2,0,1,2,93.55,2264.05,Yes,2,3,0.041319758839248245,1,2245.2,High,1
2819-GWENI,0,0,1,1,28,1,0,2,1,1,1,1,1,1,1,0,3,19.9,543.0,No,2,1,0.03664825046040515,0,557.1999999999999,Low,0
3853-LYGAM,1,0,0,0,17,1,2,1,0,0,2,2,0,2,0,1,0,95.65,1640.0,No,1,4,0.05832317073170732,0,2295.6000000000004,High,0
1740-CSDJP,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,35.25,35.25,Yes,0,1,1.0,1,846.0,Low,1
2866-IKBTM,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.55,19.55,No,0,1,1.0,0,469.20000000000005,Low,0
2632-IVXVF,0,0,1,1,68,1,2,1,2,0,2,2,2,2,2,0,1,111.75,7511.3,No,2,6,0.01487758443944457,0,7599.0,Premium,0
5567-GZKQY,1,0,0,0,58,1,0,2,1,1,1,1,1,1,2,0,1,20.3,1131.5,No,2,1,0.017940786566504642,0,1177.4,Low,0
8946-BFWSG,1,0,1,1,63,1,2,2,1,1,1,1,1,1,2,0,3,25.25,1573.05,No,2,1,0.016051619465369822,0,1590.75,Medium,0
1508-DFXCU,1,0,0,0,12,1,0,1,0,0,0,0,2,0,0,1,2,81.45,912.0,No,1,2,0.0893092105263158,1,1954.8000000000002,Medium,0
2929-QNSRW,0,0,1,0,56,1,2,1,0,2,0,0,2,2,1,1,2,98.25,5508.35,Yes,2,4,0.017836557226755742,1,5502.0,Premium,1
8587-XYZSF,1,0,0,0,67,1,0,0,0,0,0,2,0,0,2,0,0,50.55,3260.1,No,2,2,0.015505659335603201,0,3386.85,High,0
8597-CWYHH,1,0,0,0,43,1,2,1,0,0,0,0,2,2,1,0,3,94.35,3921.3,No,2,3,0.024060898171524746,1,4057.0499999999997,Premium,0
0516-WJVXC,0,0,0,0,5,1,0,0,2,0,0,2,0,0,0,0,2,54.2,308.25,Yes,0,3,0.17583130575831307,0,1300.8000000000002,Medium,1
4277-PVRAN,0,0,0,0,8,1,0,1,0,0,0,0,2,0,0,1,0,80.1,679.3,Yes,3,2,0.1179155012512881,1,1922.3999999999999,Medium,1
9337-SRRNI,1,0,0,1,66,1,2,2,1,1,1,1,1,1,2,1,1,25.3,1673.8,No,2,1,0.015115306488230375,0,1669.8,Medium,0
0303-UNCIP,1,0,0,0,41,1,2,0,0,0,2,0,0,2,1,0,3,65.0,2531.8,No,2,3,0.025673433920530845,1,2665.0,High,0
7435-ZNUYY,1,0,0,0,6,1,0,2,1,1,1,1,1,1,1,0,3,20.6,116.6,No,3,1,0.17667238421955406,0,494.40000000000003,Low,0
6402-SSEJG,0,0,0,0,25,0,1,0,2,2,2,0,2,2,1,0,2,61.05,1540.2,No,2,5,0.03963770938839112,1,1526.25,Medium,0
6040-CGACY,0,0,0,0,15,1,0,2,1,1,1,1,1,1,0,0,3,19.6,299.4,No,1,1,0.06546426185704744,0,470.40000000000003,Low,0
4523-WXCEF,0,0,1,0,59,1,2,1,0,2,0,0,2,2,0,0,2,101.1,6039.9,Yes,2,4,0.01673868772661799,1,5964.9,Premium,1
8887-IPQNC,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,1,3,44.25,313.45,No,3,1,0.1411708406444409,1,1062.0,Low,0
1089-HDMKP,1,1,0,1,11,1,0,0,0,2,0,2,0,0,0,1,2,54.55,601.25,No,3,3,0.09072765072765072,0,1309.1999999999998,Medium,0
4612-THJBS,0,1,0,0,56,1,2,1,0,2,2,0,2,2,1,1,0,104.75,5510.65,Yes,2,5,0.019008646892834786,1,5866.0,Premium,1
6152-ONASV,0,0,1,0,68,1,2,0,2,0,0,2,0,0,1,0,0,58.25,3975.7,No,2,3,0.014651507910556633,0,3961.0,Premium,0
5999-LCXAO,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,3,29.9,29.9,No,0,1,1.0,1,717.5999999999999,Low,0
4385-GZQXV,0,1,0,0,16,1,0,1,0,0,0,2,2,2,0,1,2,94.45,1511.2,Yes,1,4,0.0625,0,2266.8,High,1
6718-BDGHG,0,0,1,0,43,1,2,0,0,0,0,2,2,0,1,1,0,64.85,2908.2,No,2,3,0.022299016573825735,0,2788.5499999999997,High,0
4424-TKOPW,1,1,0,0,2,1,2,1,0,0,0,0,2,2,0,1,2,93.85,196.75,Yes,0,3,0.47700127064803044,1,2252.3999999999996,High,1
6457-GIRWB,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.35,69.35,Yes,0,1,1.0,1,1664.3999999999999,Medium,1
0027-KWYKW,0,0,1,1,23,1,2,1,0,0,0,0,2,0,0,1,2,83.75,1849.95,No,1,2,0.04527149382415741,1,2010.0,High,0
3143-ILDAL,1,0,0,0,56,1,2,1,0,2,0,2,0,2,0,1,2,94.45,5124.6,Yes,2,4,0.01843070678687117,0,5289.2,Premium,1
9644-UMGQA,1,0,1,1,6,1,0,0,2,0,0,0,0,0,0,1,2,49.15,295.65,No,3,2,0.1662438694402165,1,1179.6,Low,0
0428-IKYCP,1,0,1,0,22,1,0,1,0,0,2,0,2,0,0,1,0,87.0,1850.65,No,1,3,0.04701050982087374,1,2088.0,High,0
8957-THMOA,0,0,0,1,50,1,0,2,1,1,1,1,1,1,2,0,1,20.15,970.85,No,2,1,0.020755008497708193,0,1007.4999999999999,Low,0
7493-GVFIO,1,0,0,0,57,1,0,2,1,1,1,1,1,1,2,0,1,20.55,1252.85,No,2,1,0.016402602067286588,0,1171.3500000000001,Low,0
1666-JZPZT,1,0,0,0,27,1,2,0,0,0,0,0,0,0,0,0,3,49.0,1291.35,No,2,1,0.03794478646377822,1,1323.0,Medium,0
9091-WTUUY,1,0,1,1,64,1,0,0,2,0,2,2,2,0,2,0,3,69.25,4447.75,No,2,5,0.015569670057894442,0,4432.0,Premium,0
4439-JMPMT,0,0,1,1,5,1,0,1,0,0,0,2,2,0,0,1,2,85.75,470.95,Yes,0,3,0.1820787769402272,0,2058.0,High,1
0396-UKGAI,1,0,0,1,23,1,0,0,0,2,0,2,0,0,0,1,0,55.3,1284.2,No,1,3,0.043061828375642416,0,1327.1999999999998,Medium,0
1156-ZFYDO,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,2,19.75,19.75,No,0,1,1.0,0,474.0,Low,0
6339-RZCBJ,1,0,0,0,48,1,0,0,0,2,2,2,2,2,2,0,1,78.9,3771.5,No,2,6,0.02092005833222856,0,3787.2000000000003,Premium,0
6923-AQONU,1,0,1,1,23,1,0,2,1,1,1,1,1,1,2,0,3,20.9,454.0,No,1,1,0.046035242290748894,0,501.59999999999997,Low,0
4815-TUMEQ,0,0,0,0,10,1,0,2,1,1,1,1,1,1,1,1,3,19.3,185.2,No,3,1,0.10421166306695466,0,463.20000000000005,Low,0
8510-BBWMU,0,0,0,0,41,1,0,2,1,1,1,1,1,1,1,1,3,19.75,806.95,No,2,1,0.024474874527541976,0,809.75,Low,0
9574-RKJIF,1,0,1,1,30,1,2,1,2,2,0,0,2,0,0,1,2,94.4,2838.7,Yes,2,4,0.03325465882270054,1,2832.0,High,1
2207-RYYRL,1,0,1,1,52,1,2,2,1,1,1,1,1,1,2,0,3,24.55,1331.05,No,2,1,0.018444085496412608,0,1276.6000000000001,Medium,0
0611-DFXKO,1,0,1,0,20,1,0,1,0,0,0,0,2,2,0,1,3,89.0,1820.45,Yes,1,3,0.04888901095882886,1,2136.0,High,1
7508-DQAKK,0,0,0,0,64,1,2,0,2,2,2,2,2,2,2,1,1,86.4,5442.05,No,2,7,0.015876370117878374,0,5529.6,Premium,0
3470-BTGQO,1,0,0,1,21,1,0,0,0,0,0,0,0,0,0,0,3,45.65,985.05,No,1,1,0.0463428252372976,1,1095.6,Low,0
6844-DZKRF,1,0,0,0,2,1,0,0,0,0,0,2,0,0,0,1,1,50.2,109.25,No,0,2,0.4594965675057209,0,1204.8000000000002,Medium,0
5485-ITNPC,1,0,1,0,66,1,0,0,2,2,2,2,2,2,2,1,0,85.9,5595.3,No,2,7,0.015352170571729846,0,5669.400000000001,Premium,0
4077-HWUYD,1,0,1,1,72,1,2,0,2,2,2,2,2,2,2,1,0,87.55,6463.15,No,2,7,0.013546026318436056,0,6303.599999999999,Premium,0
6818-WOBHJ,0,1,1,0,68,1,2,1,0,2,0,0,0,2,0,1,0,89.6,6127.6,Yes,2,3,0.014622364384098177,1,6092.799999999999,Premium,1
7996-MHXLW,0,0,0,0,66,1,2,2,1,1,1,1,1,1,2,1,1,25.15,1683.6,No,2,1,0.014938227607507721,0,1659.8999999999999,Medium,0
2479-BRAMR,1,1,1,0,41,1,2,1,2,0,2,0,0,0,0,1,0,83.75,3273.55,Yes,2,3,0.02558384628308717,1,3433.75,High,1
2615-YVMYX,1,1,1,0,71,1,2,1,2,2,2,0,2,2,0,1,2,107.5,7713.55,No,2,6,0.013936514315717147,1,7632.5,Premium,0
1010-DIAUQ,1,0,0,0,5,1,0,1,0,0,2,0,2,2,0,0,0,96.5,492.55,Yes,0,4,0.19591919602070856,1,2316.0,High,1
9518-IMLHK,1,0,0,0,31,1,0,0,2,2,2,2,2,0,0,1,0,72.45,2156.25,No,2,6,0.0336,0,2245.9500000000003,High,0
5832-TRLPB,1,0,0,0,29,1,0,0,0,0,2,2,2,2,1,1,0,75.35,2243.9,No,2,5,0.03357992780426935,0,2185.1499999999996,High,0
9093-FPDLG,0,0,0,0,11,1,0,1,0,2,2,2,0,2,0,1,2,94.2,999.9,No,3,5,0.09420942094209421,0,2260.8,High,0
2232-DMLXU,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,3,55.2,55.2,Yes,0,2,1.0,1,1324.8000000000002,Medium,1
9398-MMQTO,1,0,0,0,3,1,0,1,0,2,0,0,0,0,0,0,1,74.45,221.1,No,0,2,0.33672546359113525,1,1786.8000000000002,Medium,0
1309-XGFSN,1,1,1,1,52,1,2,0,0,2,2,0,2,2,1,1,2,80.85,4079.55,No,2,5,0.019818362319373457,1,4204.2,Premium,0
0512-FLFDW,0,1,1,0,60,1,2,1,0,0,2,0,2,2,1,1,1,100.5,6029.0,No,2,4,0.016669431083098356,1,6030.0,Premium,0
